database,outcome,label,threshold,baseline_net_benefit,hrc_net_benefit,delta_net_benefit,treat_all_net_benefit,treat_none_net_benefit
SICdb,organ_nonrecovery_24_72,Post-24h organ nonrecovery,0.2,0.217487620536878,0.222374250716706,0.00488663017982802,0.214555642428981,0
SICdb,organ_nonrecovery_24_72,Post-24h organ nonrecovery,0.25,0.177438971418643,0.186256624098688,0.00881765268004517,0.16219268525758,0
SICdb,organ_nonrecovery_24_72,Post-24h organ nonrecovery,0.3,0.142950221527235,0.156763096168882,0.0138128746416471,0.102349305633121,0
SICdb,organ_nonrecovery_24_72,Post-24h organ nonrecovery,0.35,0.11476313626430899,0.129468134159299,0.0147049978949901,0.0332992522202843,0
SICdb,organ_nonrecovery_24_72,Post-24h organ nonrecovery,0.4,0.0901746155850925,0.108895838762922,0.0187212231778299,-0.0472591434280254,0
SICdb,organ_nonrecovery_24_72,Post-24h organ nonrecovery,0.45,0.0708294832610704,0.0868457838747127,0.0160163006136423,-0.142464520103301,0
SICdb,organ_nonrecovery_24_72,Post-24h organ nonrecovery,0.5,0.0566849100860047,0.0737555381808705,0.0170706280948658,-0.25671097211363,0
SICdb,organ_nonrecovery_24_72,Post-24h organ nonrecovery,0.55,0.0479251730229056,0.062157935887412,0.0142327628645064,-0.396345524570701,0
SICdb,organ_nonrecovery_24_72,Post-24h organ nonrecovery,0.6,0.0406567630961689,0.0544044826687516,0.0137477195725828,-0.570888715142038,0
SICdb,organ_nonrecovery_24_72,Post-24h organ nonrecovery,0.65,0.0315909006292118,0.0465579507799993,0.0149670501507874,-0.795301388733758,0
SICdb,organ_nonrecovery_24_72,Post-24h organ nonrecovery,0.7,0.0238901919902702,0.0347928068803753,0.0109026148901051,-1.09451828685605,0
